catalogNumber,scientificName,genus,specificEpithet,scientificNameAuthorship,collectedBy,collectorNumber,identifiedBy,identifiedDate,identifiedConfidence,identifiedRemarks,identificationHistory,verbatimCollectionDate,collectionDate,collectionDateEnd,habitat,chromosomeCount,guardCell,specimenDescription,cultivated,continent,country,stateProvince,county,locality,verbatimCoordinates,decimalLatitude,decimalLongitude,minimumElevationInMeters,maximumElevationInMeters,elevationUnits,additionalText
HPC00014443,Galax aphylla L.,Galax,aphylla,L.,Patricia Avery,235,,,,,,"June 23, 1969",1969-06-23,,,,,,,North america,Usa,North carolina,Watauga co.,Sims lake,,,,1097,,ft,"cm
copyright reserved
SOUTH PLAINS COLLEGE
SPLT
LEVELLAND, TEXAS USA
HOWARD PAYNE UNIVERSITY
Herbarium
HPC
ENTERED 15999
Brownwood, TX. 76801
APPALACHIAN STATE UNIVERSITY HERBARIUM
PLANTS OF NORTH CAROLINA
Diapensiaceae
Handwritten Text 235"
24248,Galax aphylla L.,Galax,aphylla,L.,A. Armstrong,602,,,,,Galax urceolata (poir.) brummitt,8-22-62,1962-08-22,,Edge of woods,,,,,North america,United states,North carolina,,"Road to wavah bald, region north carolina",,,,,,,"Kathryn kalmbach herbarium
denver botanic gardens
Galax urceolata (Poiri) Brummitt
Common name wandflower, beetleweed
Diapensia family p-1186
Denver botanic gardens khd00041594
Copyright reserved
inches
cm
dia"
002282,Galax aphylla L.,Galax,aphylla,L.,"Biltmore Collector, C. W. Fallass","1336b, 1510",,,,,,"June 10th, 1897, June 10 1897, June 10 1899",1897-06-10,1899-06-10,Open woods,,,,,North America,United States,"North Carolina, Mich.",,Biltmore,,,,,,,"Herbarium of albion college
Biltmore herbarium.
Albion college herbarium (albc)
albc003128
No
Petoskey, r.c.
Inches
Centimetres
tiffen® color control patches
tiffen® gray scale
the tiffen company, 2007
r
g
b
w
g
k
c
y
m
blue
cyan
green
yellow
red
magenta
white
3/color
black
a
1
2
3
4
5
m
6
9
8
10
11
12
13
14
15
b
17
18
19
the tiffen company, 2007"
033250,Galax aphylla L.,Galax,aphylla,L.,D. Collinsworth,173,,,,,,9/4/93,1993-09-04,,"Pine—oak—heath community on xeric south facing ridge, below pisgah inn el",,,,,North america,Usa,Nc,Transylvania co.,Below pisgah inn,,,,1524,,ft,"Eastern kentucky university
herbarium

Eastern kentucky university herbarium
3 1234 10039621 5

Herbarium of eastern kentucky university
Richmond, ky, usa 40475


ik
eastern
kentucky
university
inch
optirectilinear®

u.s.a.
"
235,Galax urceolata,Galax,urceolata,(Poiret) Brummitt,"Bott, Rick, Bott, Deborah",s.n.,"Cochrane, Theodore S.",2009-07-08,,,,8/Jul/2009,2009-07-08,,W-facing slope under and oak tree.,,,"Two plants 1 ft. apart, one 12 in. in diam. with 21 stems this year, one 4 in. in diam.",,North america,United states,Wisconsin,Sauk county,"Locality of denzer- rick and deborah bott's property, s7635 pine hollow dr., 3.2--3.3 mi. (airline distance) ne of leland, 1.8 mi. (airine) nnw of denzer.",10n 05e 04 sw4se4  980 ft.,,,299,,ft,"Formerly a dairy farm, the plants on a steep slope with cliffs that had been fenced off to keep the cows out. Deep within a natural area. We've been watching these plants since 2001, and we always thought it was sullivantia, because some botanist told us it was."
KHD00041593,Galax urceolata,Galax,urceolata,(Poir.) Brummitt,James Montgomery,,,,,,Galax aphylla,"Aug. 2, 1963",1963-08-02,,Ramsey Cove Forest,,,,,North America,United States,Tenn.,Sevier Co.,Great Smoky Mtns. Nat. Park,,,,,,,"KATHRYN KALMBACH HERBARIUM
DENVER BOTANIC GARDENS
30608
1962
DIA"
049158,Galax aphylla L.,Galax,aphylla,L.,Bryce D. Fields,503,Bryce D. Fields,,,,,06/26/1993,1993-06-26,,"Blanton forest, along atv trail on e side of kentennia bog.",,,,,North america,Usa,Kentucky,Harlan County,"Blanton forest, along atv trail on e side of kentennia bog.",,,,,,,"Eastern kentucky university
herbarium
flora of blanton forest
Diapensiaceae
eastern kentucky university herbarium
3 1234 10039606 6
พว
inch
optirectilinear"
HPC00014444,Galax aphylla (L.),Galax,aphylla,(L.),David W. Richardson,235,,,,,,5-4-72,1972-05-04,,Rocky woodland,,,,,North America,Usa,North Carolina,Avery,Beech Mtn.,,,,1219,,ft,"SOUTH PLAINS COLLEGE
SPLT
LEVELLAND, TEXAS USA
HOWARD PAYNE UNIVERSITY
HPC
ENTERED 16000
Brownwood, TX. 76801"
007503,Galax aphylla L.,Galax,aphylla,L.,Lyn Loveless,56,,,,,,"June 25, 1970",1970-06-25,,"Rich, moist woodland area in mountain hardwoods.",,,,,North America,U. S. A.,North Carolina,Ashe County,"Bluff Mountain, west of West Jefferson",,,,,,,"HERBARIUM OF
ALBION COLLEGE
HERBARIUM OF ALBION COLLEGE
ALBION, MICHIGAN, U. S. A.
Albion College Herbarium (ALBC)
ALBC003126
The Tiffen Company, 2007
TIFFEN Gray Scale
Blue
Cyan
Green
Yellow
Red
Magenta
White
3/Color
Black
A"
18228,Galax aphylla L.,Galax,aphylla,L.,A. Armstrong,1747,"Ditto, J. Wingate",1997-07-00,,,"Galax urceolata (Poir.) Brummitt, J. Wingate 7/1997",8-26-64,1964-08-26,,,,,,,North America,United States,Virginia,,"High Knob, Virginia",,,,,,,"inches
KATHRYN KALMBACH HERBARIUM
DENVER BOTANIC GARDENS
Herbarium Specimen
Common Name Wandflower, Beetleweed
Remarks
Wandflower, Beetleweed DIA
8-26-1964
Original label
Galax aphylla
Galax urceolata
cm
copyright reserved
DENVER BOTANIC GARDENS KHD00041592"
